품목코드,품목명,카테고리,규격
P-088,자르고 절단석 7인치  ,절단석,7인치
P-089,장갑 렉스톨 L사이즈,장갑,L
P-090,장갑 렉스톨 M사이즈,장갑,M
P-091,제일 연마석 WA O/S 4인치*6T  ,연마석,4인치
P-092,제일 연마석 흑돌 4인치*6T  ,연마석,4인치
P-093,제일 연마석 흑돌 7인치*6T  ,연마석,7인치
P-094,제일 연마석 흑돌 7인치*6T  ,연마석,7인치
P-095,제일 절단석 흑돌 14인치  ,절단석,14인치
P-096,제일 절단석 흑돌 4인치*1.8T  ,절단석,4인치
P-097,카이마 파워휠페파 4인치#80 ,플랩디스크,4인치
P-098,클링스포 절단석 4인치  ,절단석,4인치
P-099,클링스포 절단석 5인치  ,절단석,5인치
P-100,터보 절단석 4인치  ,절단석,4인치
P-101,터보 절단석 5인치,절단석,5인치
P-003,터보 프리미엄절단석 5인치,절단석,5인치
P-004,터보Primium소프트절단석 5인치  ,절단석,5인치
P-102,트러스트 스피드 디스크컷 4인치* #60  ,플랩디스크,4인치
P-103,트러스트 스피드 디스크컷 4인치* #80,플랩디스크,4인치
P-104,티롤릿 one절단석 4인치,,4인치
P-105,티롤릿 one절단석 5인치,,5인치
P-106,티롤릿 마른날 콘크리트용 4인치 ,,4인치
P-107,티롤릿 마른날 콘크리트용 5인치,,5인치
P-108,티롤릿 멀티날 4인치 ,,4인치
P-109,티롤릿 멀티날 5인치 ,,5인치
P-110,티롤릿 멀티날 5인치 ,,5인치
P-111,티롤릿 연마석 7인치*6T,,7인치
P-112,티롤릿 옵셋 #36 4인치*2.7T,,4인치
P-113,티롤릿 옵셋 #60 4인치*2.7T,,4인치
P-114,티롤릿 옵셋 #80 4인치*2.7T,,4인치
P-115,티롤릿 절단석 (new)블루  4인치  ,,4인치
P-116,티롤릿 절단석 14인치,,14인치
P-117,티롤릿 절단석 16인치,,16인치
P-118,티롤릿 절단석 3인치  ,,3인치
P-119,티롤릿 절단석 7인치,,7인치
P-120,티롤릿 절단석 레드 4인치,,4인치
P-121,티롤릿 절단석 블루 5인치  ,,5인치
P-122,티롤릿 절단석 실버 5인치  ,,5인치
P-123,티롤릿 터보날 타일용 4인치  ,,4인치
P-124,티롤릿 파트너 절단석 16인치 * 405*4*23  ,,16인치
P-125,"페어드 옵셑 4""*6T",,160인치
P-126,페어드 절단석 4인치 ,,4인치
P-127,페어드 절단석 4인치 ,,5인치
