거래처명,구분,사업자번호,대표자명,업태,종목,주소,전화번호,팩스번호,휴대폰,이메일,대신화물_지점,경동화물_지점,담당자명,담당자연락처,메모,사용여부
강일GTC,매입업체 (구매),,유창석,도소매,건축자재,경기도 광주시 초월읍 산수로 554번길 30-2,031-763-2371,,,,,,,,,활성
블랙불코리아,매입업체 (구매),,서성길,도매 및 소매업,"공구,철물","서울시 은평구 통일로 586-19,104동 1310호(녹번동,jr아파트)",,,,,,,,,,활성
주식회사구사,고객업체 (판매),251214-1,서보경,도소매외,철물외,충청남도 보령시 주교면 토정로 1032,041-931-9409,041-933-9409,,,,,,,,활성
신흥철물,고객업체 (판매),,김종억,소매,"철재,철물,건재",충남 홍성군 홍성읍 충절로 924,041-632-3069,041-634-7705,,,,,,,,활성
효인,혼합 (판매+구매),,박춘화,,,"대전 대덕구 대화로160, 8-117",042-670-7772,042-670-8452,,,,,,,,활성
캠핑공작소,고객업체 (판매),,,,,,,,,,,,,,,활성
(주)한국기업,혼합 (판매+구매),,김일,도매,기계공구,경기도 평택시 포승읍 평택항로268번길 186,042-670-7878,042-670-7879,김정환,,,,,,,활성
장기종합건재,고객업체 (판매),251210-2,윤강원,도소매,건재 철물,세종특별자치시  장군면 월현윗길  176,044-855-9500,,,,,,,,,활성
드림종합상사,혼합 (판매+구매),,최부건외1명,도매 및 소매업,건설공구 및 건설공구소모품,"부산광역시 강서구 유통단지1로 50, 207동 113호(대저2동,부산티플렉스)",,0504-390-5220,,,,,,,,활성
누리엠알오,혼합 (판매+구매),,박수영,도소매업,그라인더날,대전광역시 유성구 복용로11번길 6-35,042-625-1246,042-367-1246,,,,,,,,활성
원스톱 종합건축자재,고객업체 (판매),,윤승민외 1명,도소매,철물외,세종특별자치시 연기면 연기리 135-13,044-865-8200,044-865-2002,,,,,,,,활성
현성산업,고객업체 (판매),,,,,,,,,,,,,,,활성
중부건재,고객업체 (판매),251210-1,이성규,소매업,철물,충북 음성군 대소면 오태로124,,,,,,,,,,활성
대흥종합공구,혼합 (판매+구매),,복언한,도소매,"농업용기계및장비,철물및수공구",충남 청양군 청양읍 문화예술로 117,041-943-0994,041-943-0997,,,,,,,,활성
(주)수보,혼합 (판매+구매),,,,,서울시 은평구 응암동 백련산로 36 백련산힐스테이트 아파트 3차 304동 1001,,,,,,,,,,활성
금남상사,고객업체 (판매),,김윤기,도소매,철물,"충청남도 당진시 서부로 279(채운동, 금남상사)",041-355-9966,041-356-1673,,,,,,,,활성
영신건재,고객업체 (판매),,민경미,"도소매,제조","건축자재,농기계,농자재",경북 영천시 신녕면 장수로 1672,054-332-0026,054-334-8877,,,,,,,,활성
대양종합상사,고객업체 (판매),,정명원,도소매,pvc 철물 공구,전남 목포시 영산로 838(대양동),061-281-0792,,,,,,,,,활성
충청벤딩,고객업체 (판매),,박성환,도매및제조업,철물,충북 청주시 서원구 남이면 가좌신송로 9-11,043-260-3211,043-260-3213,,,,,,,,활성
원일종합상사,고객업체 (판매),251205,장영이,도소매,배관자재및 건자재재,경남 함양군 함양읍 한들로 257,055-962-1464,055-963-4325,,,,,,,,활성
대명종합건재,고객업체 (판매),251205-2,노만균,도소매,전기재료 공구,충북 진천군 덕산면 용몽4길 2,043-532-4630,043-533-4006,,,,,,,,활성
도영종합상사,고객업체 (판매),251205-3,최오선,도매및소매업,,충청북도 진천군 덕산읍 한삼로 7,043-534-4742,043-536-4744,,,,,,,,활성
선일철물점,고객업체 (판매),,김재승,소매업,철물,경기도 고양시 일산동구 장항로 261(장항동),031-905-0991,031-905-0989,,,,,,,,활성
다판다철물점,고객업체 (판매),,이가운,소매업,철물외,경상남도 하동군 옥종면 옥단로 1022,,,,,,,,,,활성
성진툴코리아,혼합 (판매+구매),,남성기,도매,공구철물,경기도 화성시 정남면 가장로 233(1층),031-206-0988,031-206-0949,,,,,,,,활성
풍년자재,고객업체 (판매),,,,,,,,,,,,,,,활성
주식회사 부원,고객업체 (판매),251204,최윤정,"제조업,부동산업","건축자재,공구외",경기도 평택시 안중읍 포승장안로 24,031-681-8105,031-681-8108,,,,,,,,활성
대전건재,혼합 (판매+구매),,최기승,도매소매업,철물,대전광역시 유성구 학하중앙로 172(학하동),042-822-0989,,,,,,,,,활성
성원기업,고객업체 (판매),,,,,"서울 마포구 대흥로14,1층 성원기업",,,,,,,,,,활성
박종현,혼합 (판매+구매),,,,,,,,,,,,,,,활성
삼양연마공업(주),매입업체 (구매),,,,,경북 영천시 본촌동 433,,,,,,,,,,활성
대일하이텍주식회사,고객업체 (판매),251202-1,박중심,도매소매업,철물공구,전남 목포시  삼학로 153(산정동),061-244-2758,061-242-0989,,,,,,,,활성
황토하우징,고객업체 (판매),,,,,,,,,,,,,,,활성
연무 팔팔철물,고객업체 (판매),,,,,충남 논산시 연무읍 안심로 78-2,,,,,,,,,,활성
유재환,혼합 (판매+구매),251201-1,,,,"대전시 유성구 계룡로60번길86,802호",,,,,,,,,,활성
현대철물,고객업체 (판매),,,,,홍성,,,,,,,,,,활성
현대철물공구건재,혼합 (판매+구매),,윤형근,도소매,철물,충남 청양군 정산면 해남리 530-8,041-943-8555,041-943-1255,,,,,,,,활성
공음철물,고객업체 (판매),,,,,,,,,,,,,,,활성
한성철강,고객업체 (판매),,,,,서산산,,,,,,,,,,활성
우리산업안전물산,혼합 (판매+구매),,조준수,도매및소매업,공구 철물,충남 보령시 주교면 보령북로 281,041-934-6688,041-934-6686,,,,,,,,활성
대동볼트,고객업체 (판매),,화보옥,도매외,볼트외,경상남도 진주시 공단로 153-1(상평동),055-753-8596,055-753-9779,,,,,,,,활성
염산철물,고객업체 (판매),,,,,,,,,,,,,,,활성
충남철물(부여),고객업체 (판매),,윤석중,도.소매,철물,충청남도 부여군 부여읍 성왕로 138-1,041-833-9393,041-833-9392,,,,,,,,활성
한국기업 강민기,혼합 (판매+구매),,,,,,,,,,,,,,,활성
도개건재 구미,고객업체 (판매),,,,,경북 구미시 도개면 도안로 139,054-474-4393,,,,,,,,,활성
한국레즈본,혼합 (판매+구매),,김진욱,,,"경기도 고양시 일산동구 사리현로 161 (사리현동 622,623)",031-966-0981,031-966-0911,,,,,,,,활성
티롤릿코리아,혼합 (판매+구매),,,,,서울시 송파구 법원로128 SK메트로시티 B동1410호,02-400-2606,02-527-0123,,,,,,,,활성
공영공구,혼합 (판매+구매),251125-2,황순옥,도매및소매,공구 철물,충북 청주시 서원구 남이면 청남로 1535-3            주소이전지적용용,043-268-9343,,,,,,,,,활성
대경종합철물,고객업체 (판매),,염정인,도소매,"철물,건축자재외",전라남도 나주시 산포면 매성길 152-78,061-337-0982,061-337-1369,,,,,,,,활성
인교종합상사,고객업체 (판매),251125,정인교,도소매,철물,경상북도 구미시 산동면 강동로 953-12,054-472-7725,054-472-7726,,,,,,,,활성
영진철물 유영찬,고객업체 (판매),,,,,전남 장흥군 장흥읍 남부관광로 89,,,,,,,,,,활성
스마트종합건재,혼합 (판매+구매),,한철규,도소매,건축자재,충남 서산시 서해로 3431(석림동),041-665-1415,041-920-7748,,,,,,,,활성
자원철물,고객업체 (판매),,강승준,도소매,"건축자재,철물,안전용품","충북 청주시 청원구 오창읍 팔결로 410, 2동",043-218-9888,043-901-0057,,,,,,,,활성
부원건철종합,고객업체 (판매),,최윤정,도소매,"건축자재,공구외",경기도 평택시 안중읍 포승장안로 24,031-681-8105,031-681-8108,,,,,,,,활성
(주)기흥툴링,혼합 (판매+구매),,이규홍,도소매업,대신화물 문정동지점점,"서울특별시 송파구 충민로10, 4층(문정동,비39 가든파이브툴)",02-2273-8716,02-2269-3906,,,,,,,,활성
유명철물종합상사,혼합 (판매+구매),251121,이명화,도소매,"철물,공구,건축자재,안전용품",경상북도 구미시 선산읍 교리길 35,054-482-0489,054-482-0490,,,,,,,,활성
그린종합건재철물,혼합 (판매+구매),,안진,도소매,철물,충북 옥천군 옥천읍 마장로 6-2,043-731-0958,043-731-0959,,,,,,,,활성
주식회사 금강테크,고객업체 (판매),,조성오,도소매,공구도소매업등등,경상남도 산청군 신안면 원지로 52-1,055-974-0919,055-974-0989,,,,,,,,활성
제일연마영업소,혼합 (판매+구매),,,,,,,,,,,,,,,활성
(주)아주기업,고객업체 (판매),251119-1,박인준,건설,"전자기기설비,일반건축등",울산광역시 울주군 삼남면 신화리로 29,,,,,,,,,,활성
TU글로벌,혼합 (판매+구매),,신정호,제조업,,경기도 평택시 포승읍 포승공단로 117번길 50,031-684-5451,,,,,,,,,활성
서울철물(평창),고객업체 (판매),,김정현,,"배관,철물,수공구등",강원도 평창군 평창읍 백오로43,033-333-0767,033-334-0767,,,,,,,,활성
칠성철물,고객업체 (판매),,,,,,,,,,,,,,,활성
하동금물,고객업체 (판매),,여태세,,"건설,건축,건자재전문",경남 하동군 하동읍 중앙1길 5-5,055-882-2577,055-883-6982,,,,,,,,활성
일등공구 주식회사,고객업체 (판매),,이미경,"도소매,제조업",기계부품 공구 일반철물등등,대구광역시 달서구 성서서로 198(갈산동),053-581-0093,053-582-0093,,,,,,,,활성
삼환,혼합 (판매+구매),,,,,,,,,,,,,,,활성
예산형제철물,고객업체 (판매),,강형구,소매업,철물,충남 예산군 예산읍 예산로 48,041-334-7631,041-331-0949,,,,,,,,활성
거성기계건설,고객업체 (판매),,김준홍,,,,,,,,,,,,,활성
프라이스다운,고객업체 (판매),,,,,,,,,,,,,,,활성
한국철물공구건재,고객업체 (판매),,정성진,도매소매,철물공구,충북 괴산군 괴산읍 읍내로 117,,,,,,,,,,활성
윤`s TOOL,고객업체 (판매),,허승빈,도소매,"철물,금속","부산시 기장군 정관읍 방곡로 39,105동802호",,0504-237-8885,,,,,,,,활성
성진철물,고객업체 (판매),,,,,,,,,,,,,,,활성
주식회사 툴24,고객업체 (판매),,설선호,도매 칭 소매업업,기계공구구,"인천시 남동구 은청로 4-7, 에이동124호,125호(고잔동,남동공단산업용품상가)",032-819-0989,032-819-8080,,,,,,,,활성
원지건축,고객업체 (판매),,,,,경남 산청군 신안면 하정리 752,055-973-3600,,,,,,,,,활성
문화철물건재,고객업체 (판매),,이완호,소매,철물,경기도 이천시 설성면 진상미로 665번길 2-3,,031-642-0096,,,,,,,,활성
신평종합상사,고객업체 (판매),,강민구,도소매,철물,충남 금산군 추부면 서대산로 537,041-752-5799,041-752-5755,,,,,,,,활성
풍농자재,고객업체 (판매),,,,,,,,,,,,,,,활성
금성종합상사,고객업체 (판매),,오민철,도소매외,건축자재외,충남 금산군 추부면 서대산로 26,041-752-0366,041-754-0633,,,,,,,,활성
팔팔철물건재,고객업체 (판매),,,,,충북 옥천군 옥천읍 옥천 1676로,,,,,,,,,,활성
용건재,혼합 (판매+구매),,정병호,도소매,철물,충남 아산시 영인면 아산리 262-2,041-542-5167,,,,,,,,,활성
충남철물포장,혼합 (판매+구매),251110,윤홍일,도소매업,철물외,경기도 안성시 원곡면 가천중앙1길 92-1,031-692-1408,031-692-1420,,,,,,,,활성
태진상사,고객업체 (판매),251107-1,최삼수,도소매매,"고무제품,기계공구등등",서울특별시 종로구 종로26길 14-10,02-2273-2264,,,,,,,,,활성
영광종합건재,고객업체 (판매),251110-1,하영주,도소매,철물및 수공구도매등,"충북 제천시 덕산면 약초로41, 1층",043-645-3027,043-646-3027,,,,,,,,활성
관산철물건재,고객업체 (판매),,안만복,소매,"철물,건축자재,안전용품",경기도 고양시 일산동구 공릉천로 5(사리현동),,031-969-7877,,,,,,,,활성
CM최민상사,매입업체 (구매),,,,,서울시 노원구 덕릉로79길 35. 101호(중계동),02-933-5750,02-932-5751,,,,,,,,활성
가남공구볼트상사,고객업체 (판매),251105-1,황학순,도소매,철물공구,경기 여주시 가남읍 태평리164-3,031-883-1533,031-883-1534,,,,,,,,활성
삼일건재종합상사,혼합 (판매+구매),,이상준,도소매,건축자재,충북 음성군 금왕읍 금일로22,043-877-8955,043-881-8955,,,,,,,,활성
덕수철물점,고객업체 (판매),,박해옥,소매업,철물,충남 예산군 예산읍 창말로 46,041-334-6613,,,,,,,,,활성
(주)우리종합금속,매입업체 (구매),,,,,,043-216-0081,043-216-0084,,,,,,,,활성
신광철물건재상사,고객업체 (판매),251104-5,손병열,소매업외,철물외,충청남도 서산시 석림2길 29(석림동),041-665-3818,041-665-0482,,,,,,,,활성
일로철물,고객업체 (판매),,오순희,소매,철물,전라남도 무안군 일로읍 월암리 290-82,,,,,,,,,,활성
명성철물,고객업체 (판매),,,,,,,,,,,,,,,활성
보성PVC,혼합 (판매+구매),,이민정,도소매,"pvc,상하수도관,안전용품,철물",전남 보성군 보성읍 용문길67,061-853-1472,061-853-1473,,,,,,,,활성
신안천막,고객업체 (판매),,,,,,,,,,,,,,,활성
넘버원어닝,고객업체 (판매),,서동만,,"자이언트어닝,창고용천막,철구조물",대전시 중구 계백로1654번길 12,042-534-4947,042-524-5188,,,,,,,,활성
(주)현대온실농자재산업,고객업체 (판매),,김재훈,도소매,농자재,전남 광양시 광양읍 남문3길 19,,,,,,,,,,활성
주식회사 고려철물건재,혼합 (판매+구매),,박지환,소매,철물,충남 논산시 대교동 113-1,,,,,,,,,,활성
우일건재,고객업체 (판매),251103-2,김남구,도매,건축자재,충북 옥천군 옥천읍 마장로32,043-731-0086,,,,,,,,,활성
ITS,매입업체 (구매),,허도,도소매,산업안전용품,대전 대덕구 오정로51번길 16-24,,042-627-8052,,,,,,,,활성
유성홈센타,고객업체 (판매),,유현식,소매업,"기타잡자재,안전용품",전북 완주군 고산면 고산로 84-6,063-263-3005,063-263-3006,,,,,,,,활성
대동공업사,고객업체 (판매),,이광선,,,충남 예산군 고덕면 석곡북길 5    (석곡리 28-11),,,,,,,,,,활성
한신그레이스,혼합 (판매+구매),,,,,,,,,,,,,,,활성
자연우드,고객업체 (판매),,이동근,도소매,"목재류,철물공구",충남 태안군 태안읍 서해로 2015,041-675-2426,041-675-2427,,,,,,,,활성
다모아팜,혼합 (판매+구매),251030-1,임섭순,건설업,배관냉난방공사,충남 금산군 금산읍 인삼로220.2동동,041-751-5445,041-751-5446,,,,,,,,활성
대명종합전기상사,혼합 (판매+구매),,김미경,도소매,전기재료 공구,충북 진천군 덕산읍 용몽리 594-21,,043-537-3308,,,,,,,,활성
중앙산업,고객업체 (판매),,김태화,제조외,하이샤시외,전남 영광군 영광읍 옥당로 5-6,061-353-3028,,,,,,,,,활성
제이케이산업안전,고객업체 (판매),251029-1,김완중,도소매,"안전용품,건설자재등등","대전광역시 중구 대둔산로 281,1층층",042-583-2562,042-583-2561,,,,,,,,활성
연무철물,혼합 (판매+구매),251028-1,박성래,소매,철물,충남 논산시 연무읍 안심로 77,,,,,,,,,,활성
수주테크,고객업체 (판매),,김남식,도소매,기계공구,대구광역시 달서구 성서공단로39길 18-10(갈산동) 84호호,053-583-6356,053-583-6357,,,,,,,,활성
두기텍(주),고객업체 (판매),,박정숙,"제조,도매",기계부품,경기도 안양시 동안구 엘에스로91번길 16-42,02-893-1385,031-452-,,,,,,,,활성
전일안전공구,혼합 (판매+구매),,이정행,도소매,철물 안전공구,전남 목포시 산정공단로 35,0507-1434-0243,061-276-0180,,,,,,,,활성
팽성종합공구철물,고객업체 (판매),,김병수,도소매매,"시멘트 벽돌,철물,공구,건축자재재","경기도 평택시 팽성읍 송화택지로 157, 1.2층",031-691-8170,,,,,,,,,활성
대명철물건재,고객업체 (판매),,,,,,,,,,,,,,,활성
대광공구,고객업체 (판매),,정지선,,,충남 예산군 예산읍 충서로 911-5,041-331-0984,,,,,,,,,활성
주식회사 대양상사,고객업체 (판매),251021-1,최은정,"도소매,제조업","연마,포,지,석,절단석등",경기도 화성시 남양읍 현대기아로 457,031-359-9264,031-8059-0905,,,,,,,,활성
문화전기주식회사,고객업체 (판매),251015,노영달,,,충북 청주시 상당구 무심동로390번길 10,,043-253-0609,,,,,,,,활성
부원기건주식회사,고객업체 (판매),,김용희,,,경남 진주시 도동로183번길 14-1(하대동),055-753-5354,055-753-7574,,,,,,,,활성
대형공구철물건재,고객업체 (판매),251014-2,강대형,도소매,공구.철물,대전 중구  동서대로 1249,042-526-0979,042-526-0978,,,,,,,,활성
경민건축,고객업체 (판매),,,,,,,,,,,,,,,활성
봉원건재,고객업체 (판매),,,,,경상남도 진주시 창렬로 45,055-745-4109,,,,,,,,,활성
참조은하우스,고객업체 (판매),,,,,전북 고창,,,,,,,,,,활성
(주)태경공구,고객업체 (판매),,김형래,도소매,"공구,철물",경기도 남양주시 진접읍 금강로 1133번지,031-529-5700,,,,,,,,,활성
대광철물공구,고객업체 (판매),,윤석진,도소매,철물 공구,대전광역시 중구 유천로 71(유천동),,,,,,,,,,활성
(유)태진건업건설,고객업체 (판매),,최승규,"건설,제조","지붕판금공사,건축물조립공사업",전북 정읍시 마곡로 110-6(수성동),063-533-1111,063-533-1214,,,,,,,,활성
유림상사,혼합 (판매+구매),,서정희,도소매,"공구,철물외","대전광역시 대덕구 대덕대로1470번길 61, 104호",,,010-6406-5434,,,,,,,활성
(주)제이원코리아,매입업체 (구매),,서건익,,,경기도 안양시 동안구 엘에스로 91번길 16(호계동) 1층,031-427-1231,031-427-1332,,,,,,,,활성
미래농자재,고객업체 (판매),,,,,,,,,,,,,,,활성
신신태양철물상사,고객업체 (판매),,김종서,도소매,산업안전용품,충남 계룡시 두마면 입암길137,,,,,,,,,,활성
유한회사조은테크,고객업체 (판매),,이종섭,도소매,창호부속및철물외,전라북도 전주시 덕진구 동부대로 780,063-245-5254,063-245-5274,,,,,,,,활성
서부철강,고객업체 (판매),,,,,,,,,,,,,,,활성
대광교역,혼합 (판매+구매),,,,,,,,,,,,,,,활성
오성건재,혼합 (판매+구매),,,,,충북 괴산군 청천면 청천리 54-3,,,,,,,,,,활성
금강종합배관,고객업체 (판매),,이호영,도소매업,배관자재,경상남도 진주시 말티고개로100번길 4(하대동),055-755-0602,055-755-0603,,,,,,,,활성
도경E&C,고객업체 (판매),250923-1,이동욱,건설업,시서물유지관리,"충북 청주시 흥덕구 서부로 875-15, 외 1필지(327-11) B동(신전동)",,,,,,,,,,활성
유한회사 한마루에너지,고객업체 (판매),,김필수,건설,"기계설비공사,냉난방설치",경남 진주시 금산면 금산순롼로293번길 3,055-745-2867,055-744-0746,,,,,,,,활성
대일철물,혼합 (판매+구매),,,,,,,,,,,,,,,활성
신흥피앤에프,고객업체 (판매),250918,최남순,도소매,건설용자재,충북 청주시 상당구 목련로 213-35,0507-1478-2345,,,,,,,,,활성
안면종합공사,고객업체 (판매),250917,김태일,"소매,건설","천막,일반건축공사",충남 태안군 안면읍 장터로 62,,,,,,,,,,활성
금강건재,고객업체 (판매),,강영희,도소매,목재 철물,전북 무주군 무주읍 한풍루로 347,063-324-2366,,,,,,,,,활성
대흥철물목재공구,고객업체 (판매),,인흥진,"소매,임대","철물,목재,문짝,공구",충남 아산시 둔포면 관대길39번길 16(1층),041-534-0977,,,,,,,,,활성
길빵-유,고객업체 (판매),,,,,,,,,,,,,,,활성
신흥철물(유),고객업체 (판매),,,,,,,,,,,,,,,활성
현진툴링,고객업체 (판매),,류옥현,도소매,기계공구,경기도 수원시 권선구 고색동 986 수원종합공구단지 502동 1층1호,031-295-2555,,,,,,,,,활성
공정철물,고객업체 (판매),,강권수,도소매,건축자재외,경남 진주시 대신로 323-2,055-763-9000,,,,,,,,,활성
대영철물(유팀장),고객업체 (판매),,,,,,,,,,,,,,,활성
금강건기,고객업체 (판매),,김준우,,,충남 공주시 신금1길 30-5,041-854-7604,041-854-0812,,,,,,,,활성
원주공구종합상사,혼합 (판매+구매),,박영수,도매업,기계공구,강원도 원주시 우산로 276-2(우산동)  기계공구유통단지내 사동-102호,,033-745-0232,,,,,,,,활성
(주)진성이엔씨,고객업체 (판매),,박종오,,,경북 구미시 고아읍 농공단지길 46,054-455-2467,054-456-2467,,,,,,,,활성
(주)오성연마,혼합 (판매+구매),,방태준,도소매,"연마재,산업용품","경남 창원시 의창구 차상로150번길 102,팔용기계공구상가101호(팔용동,)",055-276-3411,055-276-3413,,,,,,,,활성
연별,고객업체 (판매),,연별,,,인천 서구 원당동230-5 금호어울림센트럴 2403동2703호,,,,,,,,,,활성
영진목공건재,고객업체 (판매),,박하선선,,,장흥군 장흥읍 남부관광로 89,,,,,,,,,,활성
한길건축,고객업체 (판매),,전이하,,,전북 고창군 고창읍 고인돌대로 1897-9,063-564-1414,063-564-4488,,,,,,,,활성
충남철물,고객업체 (판매),250825-2,이은수,도.소매,철물,충남 계룡시 엄사면 엄사리 233,042-841-5225,042-551-5425,,,,,,,,활성
유성자재마트,고객업체 (판매),,강정임,도소매,일반철물및 수공구,충남 논산시 연산면 연산리 507-1,041-734-7841,041-734-7843,,,,,,,,활성
수도철물건재,고객업체 (판매),,이춘택,도매업및소매업,일반철물,강원도 원주시 북원로 2705-1(가현동),,,,,,,,,,활성
신흥철물건재,고객업체 (판매),,김현자,도소매,"공구 소매업,안전용품품","강원도 평창군 대화면 대화2길 6,1층",033-333-2279,,,,,,,,,활성
드림툴텍,혼합 (판매+구매),,김귀자외1명,도소매,기계부품,충남 아산시 둔포면 충무로 1712,041-910-0915,041-911-0915,,,,,,,,활성
(유)태광전기,고객업체 (판매),,조영일,도소매,전기외,"전라북도 남원시 요천로 1741(월락동, 태광전기자재조명)",063-633-7200,063-633-8500,,,,,,,,활성
태성종합건축자재백화점,고객업체 (판매),,최창희,도소매업외,목재외,충청북도 음성군 대소면 대금로 778,,,,,,,,,,활성
청예,고객업체 (판매),,신대현,,컨테이너제작,광양시 용장길 239,061-793-1509,061-793-1508,,,,,,,,활성
수옥종합상사,고객업체 (판매),,진현수,도소매,철물,충남 당진시 면천면 한천로 867,,,,,,,,,,활성
고덕철물건재,고객업체 (판매),,,,,충남 예산군 고덕면 용고길 337,041-337-8128,041-338-8128,,,,,,,,활성
거성종합상사,혼합 (판매+구매),250812-2,김미숙,도소매,건축자재,충남 홍성군 홍북읍 도청대로 96번길  203,,041-634-6309,,,,,,,,활성
(주)유성건업,고객업체 (판매),,양운우,도매외,건축자재외,경기도 남양주시 진건읍 독정로 149,070-8865-1402,031-564-3389,,,,,,,,활성
영진건설,고객업체 (판매),,,,,,,,,,,,,,,활성
우리공조자재상사,고객업체 (판매),,,,,,,,,,,,,,,활성
금강ENG,고객업체 (판매),,,,,,,,,,,,,,,활성
에스제이텍,고객업체 (판매),,최성남,"제조,건설","축산기자재,플랜트기계제작",전남 목포시 삼학로254,061-279-5458,061-242-8448,,,,,,,,활성
비원,매입업체 (구매),,유시현,도소매,공구소매업등,"강원특별자치도 원주시 개륜1길 52-12,1층(봉산동)",,,,,,,,,,활성
효성툴,혼합 (판매+구매),,서효섭,"도매,제조","공구,철물",대구 서구 중리동 1094-9 이전주소- 강원도 원주시 소초면 섬배로 36,033-735-8853,033-734-8853,,,,,,,,활성
하나종합상사,고객업체 (판매),,하순경,도소매,공구 철물,충북 청원군 옥산면  옥산시내길 8,,043-211-0950,,,,,,,,활성
(주)엠앤티,고객업체 (판매),250730-1,"김재문,정재민민",제조업업,미술조형물제작작,경기도 김포시 대곶면 상마신기로 41번길 37-14,,,,,,,,,,활성
아시아예장,고객업체 (판매),,이창화,건설업,철골제작설치,울산광역시 중구 새치로 32 (학성동),,052-297-0485,,,,,,,,활성
동진철물,고객업체 (판매),,,,,,,,,,,,,,,활성
대신테크,고객업체 (판매),,,,,,,,,,,,,,,활성
대영 종합상사,혼합 (판매+구매),,이중근,,,충남 논산시 논산대로 514(지산동),041-735-1087,041-735-1086,,,,,,,,활성
광림탑차,고객업체 (판매),250717-1,고지영,제조,"특장차제조,기타자동차부품제조",충청북도 청주시 서원구 현도면 죽전길 134-9,043-267-2566,043-267-2577,,,,,,,,활성
주식회사 정스틸,고객업체 (판매),250716-2,정해영,"도소매,부동산업및 임대업","철강재,철강재임대",경기도 화성시 남양읍 주석로80번길 26-42,043-733-7955,043-733-7788,,,,,,,,활성
대영통상,고객업체 (판매),250710-3,허대형,도소매,"베아링및기계부품,철만물물","경상남도 마산시 봉암동 471-11 산업용재백화점 118호,117호",055-291-8624,055-291-8626,,,,,,,,활성
충주호스유니온,고객업체 (판매),250709-1,이정묵외 1명,도소매,"호스, 배관자재,유공압등등",충청북도 충주시 봉현로 46,043-855-9866,043-855-9864,,,,,,,,활성
제이와이산업,매입업체 (구매),,이문성,,,"경기도 안산시 단원구 산단로 325,F-322호(신길동,스마트스퀘어 지식산업센터)",031-491-3135,,,,,,,,,활성
삼성기업사,고객업체 (판매),250708-1,전병익,도소매,"안전용품,철물.잡자재",부산광역시 금정구 무학송로 63,051-512-9921,051-582-2270,,,,,,,,활성
벌교종합상사,고객업체 (판매),,,,,,,,,,,,,,,활성
능주철물,고객업체 (판매),,이영수,,,전남 화순군 능주면 석고길11,061-372-1626,,,,,,,,,활성
스마트레저,고객업체 (판매),,,,,,,,,,,,,,,활성
동일철물,고객업체 (판매),,도동현,"도소매,건설업","건재,일반건축,안전용품",천안시 동남구 목천읍 동평3길 194,041-564-9500,041-564-9400,,,,,,,,활성
대우건재철물공구마트,고객업체 (판매),,강권석,도소매,"건재,안전용품,철물등",경상남도 진주시 진주대로 1201-1(봉곡동),,,,,,,,,,활성
태양철물(유),고객업체 (판매),,,,,,,,,,,,,,,활성
삼성철물 대전,고객업체 (판매),,,,,대전전,,,,,,,,,,활성
동보건재,혼합 (판매+구매),,김흥영,도소매,건축자재,충북 보은군 보은읍 보은로 10-3  1층,043-543-6393,,,,,,,,,활성
세무법인한밭,고객업체 (판매),,,,,,,,,,,,,,,활성
